geoName,year,NIH,abdominal,aerobic exercise,apnea,best workout,bike helmet,bike laws,bike locks,bike repair,bike sale,bodybuilding,calories,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,diet,dietary,dresses plus size,e-bike,ejercicios,endocrine,exercise,exercises,fitbit,fitness,fitness gym,food delivery near me,gastric,glucose,glycogen,gym,gym near me,healthy,how to exercise,how to lose weight,hyperglycemia,hypertension,iPod,icd 10 codes,inactivity,insanity workout,insulin,insulin syringes,ipod reset,jogging,ketoacidosis,malnutrition,meals,my fitness pal,nutrition,obese,obesity,pizza delivery,polyphagia,pre workout,prediabetes,quinoa gluten free,sclerosis,signs of diabetes,slim,sugar level,symptoms of congestive heart failure,symptoms of diabetes,symptoms of high blood sugar,t25 schedule,trainer,type 2,type 2 diabetes,unhealthy,visceral,weighing,weight loss,wellness,workout,yoga
Tennessee,2004,12,82,38,47,32,5,0,34,13,13,57,78,83,79,15,16,42,79,72,33,19,82,36,20,0,13,56,79,83,0,63,27,0,55,84,25,53,0,69,32,51,25,65,53,0,24,0,72,100,40,61,12,41,75,0,69,49,62,34,26,11,16,0,77,12,56,17,0,47,0,0,64,25,36,22,24,16,88,35,85,41
Texas,2004,8,65,22,42,22,7,17,14,18,31,63,76,74,70,7,14,34,59,56,37,20,74,37,14,18,31,54,69,72,0,86,67,0,45,63,19,70,0,61,37,41,22,57,56,0,24,0,43,20,49,63,11,14,82,0,66,47,52,28,5,2,5,0,59,11,68,18,39,42,11,0,75,28,30,18,15,20,71,32,85,45
Utah,2004,11,64,23,57,42,14,0,0,59,57,69,69,63,70,33,0,37,53,43,11,0,71,35,18,0,24,34,75,67,0,90,62,0,39,64,0,75,0,77,50,51,29,38,75,0,42,0,69,0,85,75,25,64,82,0,72,66,81,36,0,0,19,0,83,43,44,15,0,50,0,0,72,35,40,34,43,25,76,26,73,51
Vermont,2004,10,67,0,45,37,50,0,0,64,46,51,67,77,67,0,0,50,56,43,0,0,76,19,39,0,0,100,85,84,0,68,63,0,39,71,75,54,0,86,50,60,38,45,66,0,0,0,84,0,0,48,100,58,60,0,69,32,89,0,0,50,0,0,81,0,75,0,0,67,0,0,59,25,36,78,57,44,64,38,73,92
Virginia,2004,21,71,20,36,16,13,37,13,23,21,68,82,74,70,5,14,22,50,42,22,8,70,34,9,0,58,51,73,73,0,78,56,0,46,58,12,82,0,68,36,34,19,57,63,0,25,0,44,39,41,59,8,24,79,0,65,48,55,44,10,6,8,0,65,11,53,18,0,40,21,0,57,31,33,27,19,28,61,31,79,53
Washington,2004,10,60,18,45,11,18,53,44,38,30,52,82,64,61,4,12,31,68,45,23,20,68,36,15,19,17,63,62,70,0,81,51,0,33,73,18,59,0,75,27,26,14,43,66,0,23,0,59,0,78,56,6,34,77,0,66,49,49,52,0,0,13,0,60,9,46,7,40,18,0,0,74,29,40,34,26,19,58,29,66,74
West Virginia,2004,10,54,100,91,42,28,0,0,0,34,61,63,56,78,100,42,84,73,51,34,100,88,42,21,0,71,30,54,96,0,47,54,0,76,95,55,49,0,57,74,50,43,88,43,0,0,0,74,0,0,27,37,64,55,0,60,53,86,0,0,0,0,0,78,64,52,44,0,100,0,0,100,49,100,44,0,100,72,30,69,38
Wisconsin,2004,10,64,24,45,12,6,48,35,17,37,49,86,71,71,14,18,35,49,45,20,22,72,43,15,0,31,53,73,80,0,68,42,0,44,52,16,48,0,74,48,36,37,49,53,0,18,0,65,75,43,46,21,25,75,0,78,47,62,10,0,0,8,0,66,28,50,11,72,35,40,0,70,34,33,17,19,32,69,36,60,46
Wyoming,2004,6,60,0,41,0,0,0,0,0,92,48,100,59,84,0,0,100,85,48,0,0,73,100,0,0,0,73,81,70,0,61,48,0,52,29,100,21,0,86,100,60,0,68,45,0,0,0,100,0,0,48,0,0,100,0,81,72,78,0,0,100,100,0,63,0,73,0,0,89,0,0,61,100,72,78,0,89,89,54,100,40
Alabama,2005,9,88,40,77,55,19,0,0,19,14,64,81,75,74,42,30,31,39,87,39,64,97,51,22,0,19,53,77,79,0,57,47,0,67,72,37,47,0,69,37,61,99,62,61,0,43,0,47,72,18,64,32,25,57,0,69,51,56,54,0,0,0,0,74,41,62,23,73,48,0,0,67,70,50,34,14,25,90,49,89,32
